Date : 2024-09-25 13:20:08
Directory : c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app
Total : 2238 files,  -686215 codes, -44464 comments, -103319 blanks, all -833998 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\main.py                                  | Python     |        -34 |        -30 |        -16 |        -80 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\main_parser.py                           | Python     |        -82 |        -24 |        -29 |       -135 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\parser.py                                | Python     |       -222 |        -20 |        -53 |       -295 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\progress_bars.py                         | Python     |        -58 |          0 |        -11 |        -69 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\req_command.py                           | Python     |       -408 |        -29 |        -69 |       -506 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\spinners.py                              | Python     |       -114 |        -18 |        -28 |       -160 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\status_codes.py                          | Python     |         -6 |          0 |         -1 |         -7 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\__init__.py                         | Python     |       -113 |         -7 |        -13 |       -133 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\cache.py                            | Python     |       -163 |        -20 |        -43 |       -226 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\check.py                            | Python     |        -45 |          0 |        -10 |        -55 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\completion.py                       | Python     |       -116 |         -5 |        -10 |       -131 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\configuration.py                    | Python     |       -224 |        -12 |        -45 |       -281 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\debug.py                            | Python     |       -149 |         -9 |        -44 |       -202 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\download.py                         | Python     |       -117 |         -2 |        -29 |       -148 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\freeze.py                           | Python     |        -91 |          0 |        -18 |       -109 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\hash.py                             | Python     |        -48 |          0 |        -12 |        -60 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\help.py                             | Python     |        -29 |         -1 |        -12 |        -42 |
